original,words
ace,ace
act,act
ao,to
aon,on
aov,sov
apc,apt
ari,are
aru,aru
atg,at
atm,at
ax,ax
ay,ay
b,b
ba,ba
bb,by
bc,bc
bd,by
becon,bacon
bently,gently
bfw,bow
bg,by
bon,on
boonraksasri,boonraksasri
bruf,but
bs,is
btm,tm
bv,by
by,by
c,c
ca,ca
cake,cake
cb,c
cbd,cod
cc,c
ccb,cab
ccr,car
cd,d
cdef,def
cdu,du
ce,ce
cfu,cf
cg,c
cgc,can
cho,who
ci,i
cip,cap
cla,clay
clw,cow
cm,cm
cmc,cm
co,co
cod,cod
cpu,cup
cus,us
cw,c
cws,cows
db,do
dc,do
dcs,des
dcsprm,dcsprm
de,de
dev,de
df,of
dg,do
di,di
diff,if
dis,dis
divo,dive
dmds,did
do,do
dol,do
dorf,dorr
dose,dose
dp,up
ds,is
dt,it
dv,do
dw,do
dwt,dot
dyer,der
e,e
ebr,ear
eco,co
ecv,ev
edit,edit
ee,he
eec,etc
eet,met
eeu,eau
egf,egg
eh,eh
elies,lies
elis,elias
elite,elite
ellis,ellis
ellisekey,ellisekey
ellist,enlist
ellistkey,ellistkey
emcp,each
endflang,endflang
envidas,envious
eol,vol
eq,e
esaygen,esaygen
esd,end
esv,est
ev,ev
evt,eat
exapilot,exapilot
exsit tine,exit time
fcu,feu
fd,ff
fg,fig
fgs,figs
fi,i
fin,in
fl,ll
fn,fn
fqi,foi
frac,fray
frp,fro
fs,is
ft,ft
fv,ff
fw,few
fws,fwo
g,g
gc,go
gd,go
ges,yes
girout,group
gis,his
gov,go
gr,gr
grit,grit
gs,is
gtg,gig
gts,its
gun,gun
gwr,gr
h,h
hc,he
hcl,he
he,he
hf,of
hh,he
hi,hi
his,his
hl,he
hm,hm
hmi,him
hp,he
hpwj,how
hr,he
hs,he
htc,etc
hub,hut
hv,he
hvac,had
hx,he
i,i
ia,in
iar,war
ics,is
id,id
ie,in
ii,ii
il,il
in,in
inergen,inergen
ing,ing
inh,in
inlet,let
io,to
iom,tom
ir,in
iris,iris
is,is
it,it
iut,it
iw,in
j,j
jb,j
jgc,go
jip,lip
k,k
kay,may
kittiphot,kittiphot
kv,iv
kw,w
l,l
lach,each
lcb,lb
lcs,les
ler,her
lf,of
lg,ll
ll,ll
loa,low
lof,of
loof,look
loofbtm,loofbtm
lp,up
lpg,leg
lps,lips
lq,ll
ls,is
lsc,is
lsp,lip
lsv,is
lt,it
lv,ll
m,m
ma,ma
mag,may
male,male
man,man
mc,my
mca,ma
mcafee,cafe
mcc,mac
md,md
me,me
meal,meal
meg,meg
mem,me
ment,men
mer,her
mesh,mesh
mfl,mal
mh,my
mmf,mmm
mn,in
mo,mo
mocd,mood
mp,up
mpr,mr
mt,mt
mtr,mr
mul,mud
mv,my
mx,my
n,n
naphatha,naphatha
naphtha,naphthol
naptha,martha
nde,de
negf,new
ngr,nor
o,o
ocuj,out
od,of
of,of
off,off
oh,oh
oing,going
or,or
orp,or
osbl,soul
ot,of
ovh,oh
p,p
pa,pa
pautacfmutm,pautacfmutm
pb,pp
pc,pp
pcas,pas
pcv,put
pdg,pig
pdm,pm
pdt,put
pdv,adv
pg,pg
ph,oh
pi,i
pid,did
pk,pp
plc,ply
pling,fling
pmp,pp
pof,of
positionermini,positioner mini
ppm,pp
prl,pre
prm,arm
prs,pus
ps,is
psa,pas
psc,is
pssr,past
pst,put
psv,is
pt,it
ptc,etc
ptiut,put
ptr,per
ptt,put
pu,up
pv,pp
pvc,put
pvi,vi
pw,pp
q,q
qel,el
qle,le
qo,to
qw,w
r,r
rbi,roi
rcw,raw
rd,rd
re,re
remcleanerove,remcleanerove
rey,red
rim,rim
ro,to
rpl,all
rt,it
rtd,red
rvi,vi
rwt,rat
s,s
sap,sap
sc,s
scs,sacs
sfd,sad
sg,sg
shim,him
slove,love
soc,so
soot,soot
sor,for
sov,sov
spar,scar
ss,is
st,st
stub,sub
stud,stud
sv,s
svd,sad
svp,sip
sw,s
swgr,war
t,t
ta,ta
tagand,pagan
tao,to
tbc,tic
tc,to
tcuv,thus
tdi,ti
te,te
tes,yes
tese,these
tfu,tu
tg,to
tig,fig
tk,to
tmt,tm
tnk,ink
to,to
toc,to
trey,they
tv,to
tw,to
tx,to
uc,up
ue,he
uint,lint
umc,up
up,up
ups,up
upvc,up
utpa,up
vad,had
vgu,you
vgv,go
vocremove,vocremove
vov,vol
vru,you
vt,it
wbd,wad
wg,we
woble,noble
ww,we
yad,had
ydro,do
zet,met
bonnet,bonnet
clarn,clark
coriolis,coriolis
corrion,carrion
costic,cystic
daier,dear
desup,deep
purate,urate
uptorque,uptorque
utmptbore,utmptbore
utmvisual,utmvisual
ventury,century
