SafetyCompany,InitialCompany
"9TECH Construction Co.,Ltd.",-
"ABB ELECTRIFICATION (THAILAND) CO.,LTD.",ABB
ABB Power Grids (Thailand) Limited,ABB
AMNAT GREENTREE ENGINEERING AND SUPPLY LIMITED PARTNERSHIP,-
APEC NDT SERVICES (2003) COMPANY LIMITED,-
"APP service & supply Co.,Ltd.",APP Service
"C.C. CONTENT COMMERCIAL CO.,LTD.",-
"CAPS 1999 (THAILAND) CO.,LTD.",-
"FLOWLAB & SERVICE CO.,LTD.",FLOWLAB
"H.H.P.MACHINERY CO.,LTD.",HHP
"HYDRODYNE SERVICE CO.,LTD.",HDS
"ITL ENGINEERING & SOLUTION CO., LTD.",-
"JOHN CRANE (THAILAND) CO.,LTD.",-
"JS Tech Co.,Ltd.",-
"KONGPATANA ENGINEERING AND CONSTRUCTION CO.,LTD.",KEC
"LEO PETROCHEM CO.,LTD.",LEO
LINDE (THAILAND) PCL.,LINDE
"Map Ta Phut Olefins Co., Ltd.",-
"MEER SERVICE CO.,LTD.",-
MEGABOLT,MGB
"MYC MAINTENNANCE AND SUPPLY CO.,LTD.",MYC
"NALCO INDUSTRIAL SERVICES (THAILAND) CO., LTD.",NALCO
"OSA Valve Service (Thailand) CO.,Ltd.",-
"PROFESS CONSTRUCTION CO.,LTD.",Profess Con
"PROTECH OUTSOURCING CO.,LTD.",PROTECH
"Rayong Engineering & Plant Service Co., Ltd",-
"Rayong Olefins Co., Ltd.",-
"RENEW COILS ENGINEERING& SUPPLY CO., LTD",RNC
"REPCO Maintenance Co., Ltd.",REPCO
"RMS Industrial Service Co., Ltd.",RMS
"SAMAPHAN ENGINEERING CO.,LTD",-
"SAT Solutions Co.,Ltd.",SAT
SCG Chemicals Public Company Limited,SCGC
"SIWA TESTING INSPECTION & CONSULTING CO.,LTD.",SIWA
"SUEZ Water Technologies and Solutions (Thailand) Co., Ltd.",SUEZ
"T.C.T Supply & Service Co.,Ltd.",-
"T.S.K DIAMOND RENTAL CO.,LTD.",TSK
Texplore Company Limited (Direct hiring),TTCL
"THAI EXPRESS INDUSTRY CO.,LTD.",-
"Thai Pet Resin Co., Ltd",-
"The siam cement ( Ta Luang ) Co.,Ltd ",TSCL
"TSP SERVICE THAILAND CO.,LTD.",TSP
"UTOC (THAILAND) CO.,LTD.",UTOC
"VERTEX SERVICE CO.,LTD.",-
"VPP INTER GROUP CO.,LTD.",VPP
"WINTHERMS CO.,LTD.",WTM
Yokogawa (Thailand) Ltd.,-
"Zeeco, Inc. ",-
บจ.เอ แอนด์ ที อินสเปคชั่น,A&T
บริษัท เวลธ์ เอ็นดีที อินสเปคชั่น แอนด์ เซอร์วิสเซส จำกัด ,NDT
บริษัท เอ็นพีเค อินโนเวชั่น จำกัด,NPK
บริษัท ยูไนเต็ด แอนนาลิสต์ แอนด์ เอ็นจิเนียริ่ง คอนซัลตนท์ จำกัด,-
หจก. อีสเทอร์น คอนสตรัคชั่น แอนด์ เอนเตอร์ไพรซ์  ,ECE
